T,Smoothed_Pro
335,3.7534217075801587e-06
336,3.752914437331224e-06
337,3.752407167082289e-06
338,3.7518998968333543e-06
339,3.7513926265844196e-06
340,3.7508853563354845e-06
341,3.75037808608655e-06
342,3.749870815837615e-06
343,3.74936354558868e-06
344,3.7488562753397455e-06
345,3.7483490050908108e-06
346,3.7478417348418757e-06
347,3.747334464592941e-06
348,3.7468271943440064e-06
349,3.7463199240950713e-06
350,3.7458126538461366e-06
351,3.745305383597202e-06
352,3.744798113348267e-06
353,3.744290843099332e-06
354,3.7437835728503975e-06
355,3.7432763026014625e-06
356,3.7427690323525278e-06
357,3.742261762103593e-06
358,3.741754491854658e-06
359,3.7412472216057234e-06
360,3.7407399513567887e-06
361,3.7402326811078536e-06
362,3.739725410858919e-06
363,3.739218140609984e-06
364,3.738710870361049e-06
365,3.7382036001121145e-06
366,3.7376963298631794e-06
367,3.7371890596142448e-06
368,3.73668178936531e-06
369,3.736174519116375e-06
370,3.7356672488674404e-06
371,3.7351599786185057e-06
372,3.7346527083695706e-06
373,3.734145438120636e-06
374,3.7336381678717013e-06
375,3.733130897622766e-06
376,3.7326236273738315e-06
377,3.732116357124897e-06
378,3.7316090868759618e-06
379,3.731101816627027e-06
380,3.7305945463780925e-06
381,3.7300872761291574e-06
382,3.7295800058802227e-06
383,3.729072735631288e-06
384,3.728565465382353e-06
385,3.7280581951334183e-06
386,3.7275509248844836e-06
387,3.7270436546355485e-06
388,3.726536384386614e-06
389,3.726029114137679e-06
390,3.725521843888744e-06
391,3.7250145736398095e-06
392,3.724507303390875e-06
393,3.7240000331419397e-06
394,3.723492762893005e-06
395,3.7229854926440704e-06
396,3.7224782223951353e-06
397,3.7219709521462006e-06
398,3.721463681897266e-06
399,3.720956411648331e-06
400,3.720449141399396e-06
401,3.7199418711504615e-06
402,3.7194346009015265e-06
403,3.7189273306525918e-06
404,3.7184200604036567e-06
405,3.717912790154722e-06
406,3.7174055199057874e-06
407,3.7168982496568523e-06
408,3.7163909794079176e-06
409,3.715883709158983e-06
410,3.715376438910048e-06
411,3.714869168661113e-06
412,3.7143618984121785e-06
413,3.7138546281632435e-06
414,3.7133473579143088e-06
415,3.712840087665374e-06
416,3.712332817416439e-06
417,3.7118255471675044e-06
418,3.7113182769185697e-06
419,3.7108110066696346e-06
420,3.7103037364207e-06
421,3.7097964661717653e-06
422,3.70928919592283e-06
423,3.7087819256738955e-06
424,3.708274655424961e-06
425,3.7077673851760258e-06
426,3.707260114927091e-06
427,3.7067528446781565e-06
428,3.7062455744292214e-06
429,3.7057383041802867e-06
430,3.705231033931352e-06
431,3.704723763682417e-06
432,3.7042164934334823e-06
433,3.7037092231845476e-06
434,3.7032019529356125e-06
435,3.702694682686678e-06
436,3.702187412437743e-06
437,3.701680142188808e-06
438,3.7011728719398735e-06
439,3.700665601690939e-06
440,3.7001583314420037e-06
441,3.699651061193069e-06
442,3.699143790944134e-06
443,3.6986365206951993e-06
444,3.6981292504462646e-06
445,3.6976219801973295e-06
446,3.697114709948395e-06
447,3.69660743969946e-06
448,3.696100169450525e-06
449,3.6955928992015905e-06
450,3.695085628952656e-06
451,3.6945783587037207e-06
452,3.694071088454786e-06
453,3.6935638182058514e-06
454,3.6930565479569163e-06
455,3.6925492777079816e-06
456,3.692042007459047e-06
457,3.691534737210112e-06
458,3.691027466961177e-06
459,3.6905201967122425e-06
460,3.6900129264633075e-06
461,3.689505656214373e-06
462,3.688998385965438e-06
463,3.688491115716503e-06
464,3.6879838454675684e-06
465,3.6874765752186337e-06
466,3.6869693049696986e-06
467,3.686462034720764e-06
468,3.6859547644718293e-06
