T,TTI
583,5.438985553241285e-06
584,5.438985553241285e-06
585,5.438985553241285e-06
586,5.438985553241285e-06
587,5.438985553241285e-06
588,5.438985553241285e-06
589,5.438985553241285e-06
590,5.438985553241285e-06
591,5.438985553241285e-06
592,5.438985553241285e-06
593,5.438985553241285e-06
594,5.438985553241285e-06
595,5.438985553241285e-06
596,5.438985553241285e-06
597,5.438985553241285e-06
598,5.438985553241285e-06
599,5.438985553241285e-06
600,5.438985553241285e-06
601,5.438985553241285e-06
602,5.438985553241285e-06
603,5.438985553241285e-06
604,5.438985553241285e-06
605,5.438985553241285e-06
606,5.438985553241285e-06
607,5.438985553241285e-06
608,5.438985553241285e-06
609,5.438985553241285e-06
610,5.438985553241285e-06
611,5.438985553241285e-06
612,5.438985553241285e-06
613,5.438985553241285e-06
614,5.438985553241285e-06
615,5.438985553241285e-06
616,5.438985553241285e-06
617,5.438985553241285e-06
618,5.438985553241285e-06
619,5.438985553241285e-06
620,5.438985553241285e-06
621,5.438985553241285e-06
622,5.438985553241285e-06
623,5.5582696440021474e-06
624,5.637792371176058e-06
625,5.637792371176058e-06
626,5.637792371176058e-06
627,5.637792371176058e-06
628,5.637792371176058e-06
629,5.637792371176058e-06
630,5.637792371176058e-06
631,5.637792371176058e-06
632,5.637792371176058e-06
633,5.637792371176058e-06
634,5.637792371176058e-06
635,5.637792371176058e-06
636,5.637792371176058e-06
637,5.637792371176058e-06
638,5.637792371176058e-06
639,5.637792371176058e-06
640,5.637792371176058e-06
641,5.637792371176058e-06
642,5.637792371176058e-06
643,5.637792371176058e-06
644,5.637792371176058e-06
645,5.637792371176058e-06
646,5.637792371176058e-06
647,5.637792371176058e-06
648,5.637792371176058e-06
649,5.637792371176058e-06
650,5.637792371176058e-06
651,5.637792371176058e-06
652,5.637792371176058e-06
653,5.637792371176058e-06
654,5.637792371176058e-06
655,5.637792371176058e-06
656,5.637792371176058e-06
657,5.637792371176058e-06
658,5.637792371176058e-06
659,5.637792371176058e-06
660,5.637792371176058e-06
661,5.637792371176058e-06
662,5.637792371176058e-06
663,5.637792371176058e-06
664,5.637792371176058e-06
665,5.637792371176058e-06
666,5.637792371176058e-06
667,5.637792371176058e-06
668,5.637792371176058e-06
669,5.637792371176058e-06
670,5.637792371176058e-06
671,5.637792371176058e-06
672,5.637792371176058e-06
673,5.637792371176058e-06
674,5.637792371176058e-06
675,5.637792371176058e-06
676,5.637792371176058e-06
677,5.637792371176058e-06
678,5.637792371176058e-06
679,5.637792371176058e-06
680,5.637792371176058e-06
681,5.637792371176058e-06
682,5.717315098349969e-06
683,5.836599189110834e-06
684,5.836599189110834e-06
685,5.836599189110834e-06
686,5.836599189110834e-06
687,5.836599189110834e-06
688,5.836599189110834e-06
689,5.836599189110834e-06
690,5.836599189110834e-06
691,5.836599189110834e-06
692,5.836599189110834e-06
693,5.836599189110834e-06
694,5.836599189110834e-06
