node_id,length,speed
2510004315,2702,4
2510007875,197,4
252000256,253,3
2530005945,5250,4
253000251,330,4
254000409,565,3
2540009588,641,3
255000250,352,4
25500010886,1102,4
2560005604,208,3
2560007149,78,3
257000246,1494,2
2580005074,4538,6
2590009851,1229,4
2590005804,2985,4
260000245,1871,4
2600005654,3963,4
261000234,53,2
26100010803,257,2
261000205,632,2
2620004381,3153,2
263000264,440,4
2630002806,3826,4
264000263,440,4
2640002591,1663,4
265000266,272,3
2660009445,1060,3
26700010081,419,2
2670001126,4476,2
2690002447,308,6
270000243,1470,2
2710008673,1418,6
2720002130,3523,4
2720006012,806,4
272000630,13957,4
2730001079,413,3
2740007008,180,3
27400032,56,3
2740008694,3224,4
2750004417,7915,4
2750005686,243,4
276000325,98,4
277000320,1988,4
2770006319,3354,4
278000168,547,2
27800010906,1061,2
279000280,313,2
2790007884,3809,2
2800007886,194,2
280000279,313,2
281000288,1759,4
281000420,270,4
2820004679,1524,4
2830008911,3323,3
2840002782,907,2
2840009927,1340,2
2850001573,755,2
2850001229,3187,2
2860006916,475,3
286000638,191,3
28700047,2550,6
288000281,1759,4
2880008418,2279,4
2880008612,5688,3
2890007449,2635,4
2890005334,2764,6
290000106,1192,6
2900009508,1516,4
2910007989,529,2
2920009561,7952,6
293000286,97,3
2940009864,4152,2
29500048,405,6
420000305,307,4
2960007023,318,4
297000360,60,3
1889000345,327,4
298000510,476,4
29900054,4705,4
2990004679,3179,4
3000007837,5719,4
300000599,343,4
3010001578,3414,2
3010001572,2595,2
3010009991,6586,2
3020007072,54,4
3020007063,135,4
3030007964,300,4
303000309,370,4
30400010786,240,4
3040004723,410,4
305000557,138,4
306000307,209,4
3060004723,247,4
30700010786,203,4
307000306,209,4
3080007879,2895,2
3090007072,164,4
3100005148,262,4
3100005149,1132,4
31100046,141,4
31200010665,7468,4
312000211,239,4
313000376,245,4
3130007085,178,4
3140002913,3927,2
315000466,280,4
315000637,154,4
3160002251,935,6
3170002553,5090,4
317000343,298,4
3180005629,4459,4
3180008175,278,4
