source,target
2900000009508,9508
291,2910000007989
2910000007989,7989
292,2920000009561
2920000009561,9561
293,293000000286
293000000286,286
294,2940000009864
2940000009864,9864
295,29500000048
29500000048,48
420,420000000305
420000000305,305
296,2960000007023
2960000007023,7023
297,297000000360
297000000360,360
1889,1889000000345
1889000000345,345
298,298000000510
298000000510,510
299,29900000054
29900000054,54
299,2990000004679
2990000004679,4679
300,3000000007837
3000000007837,7837
300,300000000599
300000000599,599
301,3010000001578
3010000001578,1578
301,3010000001572
3010000001572,1572
301,3010000009991
3010000009991,9991
302,3020000007072
3020000007072,7072
302,3020000007063
3020000007063,7063
303,3030000007964
3030000007964,7964
303,303000000309
303000000309,309
304,30400000010786
30400000010786,10786
304,3040000004723
3040000004723,4723
305,305000000557
305000000557,557
306,306000000307
306000000307,307
306,3060000004723
3060000004723,4723
307,30700000010786
30700000010786,10786
307,307000000306
307000000306,306
308,3080000007879
3080000007879,7879
309,3090000007072
3090000007072,7072
310,3100000005148
3100000005148,5148
310,3100000005149
3100000005149,5149
311,31100000046
31100000046,46
312,31200000010665
31200000010665,10665
312,312000000211
312000000211,211
313,313000000376
313000000376,376
313,3130000007085
3130000007085,7085
314,3140000002913
3140000002913,2913
315,315000000466
315000000466,466
315,315000000637
315000000637,637
316,3160000002251
3160000002251,2251
317,3170000002553
3170000002553,2553
317,317000000343
317000000343,343
318,3180000005629
3180000005629,5629
318,3180000008175
3180000008175,8175
319,3190000002280
3190000002280,2280
319,3190000002114
3190000002114,2114
320,320000000277
320000000277,277
320,3200000006318
3200000006318,6318
321,321000000456
321000000456,456
321,32100000010113
32100000010113,10113
322,3220000002008
3220000002008,2008
323,3230000004827
3230000004827,4827
323,3230000009085
3230000009085,9085
324,32400000010784
32400000010784,10784
324,32400000010753
32400000010753,10753
324,3240000001682
3240000001682,1682
325,3250000005821
3250000005821,5821
326,326000000653
326000000653,653
326,326000000318
326000000318,318
326,3260000008175
3260000008175,8175
327,327000000328
327000000328,328
327,3270000004981
3270000004981,4981
328,328000000327
328000000327,327
328,3280000008685
3280000008685,8685
328,3280000009703
3280000009703,9703
329,3290000003908
3290000003908,3908
329,32900000071
32900000071,71
330,330000000315
330000000315,315
331,3310000003520
3310000003520,3520
332,3320000004657
3320000004657,4657
333,33300000010452
33300000010452,10452
334,334000000333
334000000333,333
334,3340000008126
3340000008126,8126
335,33500000010328
33500000010328,10328
335,3350000009690
3350000009690,9690
337,3370000006986
3370000006986,6986
336,3360000008276
3360000008276,8276
337,337000000336
337000000336,336
338,33800000075
33800000075,75
338,33800000077
33800000077,77
338,3380000004157
3380000004157,4157
339,3390000002692
3390000002692,2692
339,3390000004861
3390000004861,4861
340,3400000007485
3400000007485,7485
341,341000000300
341000000300,300
341,341000000599
341000000599,599
343,3430000002114
3430000002114,2114
342,342000000319
342000000319,319
343,343000000342
343000000342,342
344,3440000007163
3440000007163,7163
344,3440000004157
3440000004157,4157
345,3450000001862
3450000001862,1862
346,3460000009323
3460000009323,9323
346,346000000479
346000000479,479
347,3470000001889
3470000001889,1889
348,348000000349
348000000349,349
349,3490000003027
3490000003027,3027
349,3490000002630
3490000002630,2630
350,350000000297
350000000297,297
350,3500000007262
3500000007262,7262
351,3510000005186
3510000005186,5186
351,3510000003239
3510000003239,3239
352,3520000002425
3520000002425,2425
353,3530000009756
3530000009756,9756
353,3530000006684
3530000006684,6684
354,3540000001952
3540000001952,1952
354,3540000002315
3540000002315,2315
355,3550000006597
3550000006597,6597
355,3550000006910
3550000006910,6910
356,3560000009316
3560000009316,9316
357,3570000004171
3570000004171,4171
358,3580000002401
3580000002401,2401
358,3580000003194
3580000003194,3194
359,3590000005367
3590000005367,5367
360,3600000006916
3600000006916,6916
360,360000000293
360000000293,293
361,36100000010282
36100000010282,10282
361,3610000002190
3610000002190,2190
362,3620000008270
3620000008270,8270
362,3620000002903
3620000002903,2903
363,36300000010346
36300000010346,10346
364,364000000363
364000000363,363
364,364000000271
364000000271,271
365,3650000007761
3650000007761,7761
365,3650000006764
3650000006764,6764
366,36600000010442
36600000010442,10442
366,36600000010026
36600000010026,10026
367,3670000009292
3670000009292,9292
367,3670000002903
3670000002903,2903
368,3680000004992
3680000004992,4992
368,3680000008442
3680000008442,8442
368,3680000003308
3680000003308,3308
369,369000000383
369000000383,383
369,369000000357
369000000357,357
369,3690000004693
3690000004693,4693
3096,3096000000330
3096000000330,330
370,370000000639
370000000639,639
371,3710000004191
3710000004191,4191
372,3720000001482
3720000001482,1482
372,3720000007620
3720000007620,7620
373,373000000758
373000000758,758
373,373000000766
373000000766,766
374,374000000776
374000000776,776
374,3740000002678
3740000002678,2678
375,3750000004257
3750000004257,4257
376,3760000005226
3760000005226,5226
377,3770000008762
3770000008762,8762
377,377000000379
377000000379,379
377,3770000002758
3770000002758,2758
378,3780000007622
3780000007622,7622
378,3780000005855
3780000005855,5855
379,379000000377
379000000377,377
379,379000000380
379000000380,380
379,379000000391
379000000391,391
380,380000000379
380000000379,379
380,380000000391
380000000391,391
381,3810000002684
